headline,description,question,answer,a,b,source,image,image2,credit,result
"QUIZ: Which boisterous, blabbering, big-mouth said it? George Steinbrenner or Donald Trump","When it comes to filling up a reporter's notebook, few have done it better than late Yankees owner George Steinbrenner and current presidential hopeful Donald Trump. Try and match these remarks with the New York icons who blurted them out.","""In the end, I'll put my good acts up against anybody in this country. Anybody""",The Boss,The Boss,The Donald,http://articles.latimes.com/2010/jul/13/local/la-me-george-steinbrenner-20100714/5,splitter-trump-steinbrenner.jpg,george-quiz.jpg,New York Daily News File Photo,0 - You're fired. - DT
,,"""Show me someone without an ego, and I'll show you a loser.""",The Donald,The Boss,The Donald,https://www.facebook.com/DonaldTrump/posts/10153583753975725,splitter-trump-steinbrenner.jpg,donald-trump-news-conference.jpg,James Keivom/New York Daily News,1-3 - Just totally bombed - DT
,,"""Winning means everything ƒ you show me a good loser and I'll show you a loser.""",The Boss,The Boss,The Donald,http://www.newsweek.com/george-and-me-steinbrenner-reminiscence-74859,splitter-trump-steinbrenner.jpg,george-quiz.jpg,New York Daily News File Photo,"4-6 - You try, but it's just not good enough. - GS"
,,"""I can't tell you how many people said, 'Please buy the Mets.'""",The Donald,The Boss,The Donald,http://www.nydailynews.com/sports/baseball/mets/donald-trump-buy-stake-mets-nyc-real-estate-mogul-considers-bailing-cash-starved-wilpons-article-1.136286,splitter-trump-steinbrenner.jpg,donald-trump-news-conference.jpg,James Keivom/New York Daily News,7-9 - You don't want it bad enough. You're not giving 100 percent. - GS
,,"""Anyone who thinks my story is anywhere near over is sadly mistaken.""",The Donald,The Boss,The Donald,https://books.google.com/books?id=jDurUkp_xmsC&pg=PA303&lpg=PA303&dq=anyone+who+thinks+my+story+is+anywhere+near+over+is+sadly+mistaken&source=bl&ots=dsGRw-cdPp&sig=QyXr_zHEf57u6mNDA5xSsdOS5y4&hl=en&sa=X&ved=0ahUKEwiq6KaFm8_KAhXIbj4KHUl3B-04ChDoAQg1MAY#v=onepage&q=anyone%20who%20thinks%20my%20story%20is%20anywhere%20near%20over%20is%20sadly%20mistaken&f=false,splitter-trump-steinbrenner.jpg,donald-trump-news-conference.jpg,James Keivom/New York Daily News,"10 - Winning is the most important thing in life, after breathing. - GS"
,,"""I am tough. Sometimes I'm unreasonable. I have to catch myself once in a while.""",The Boss,The Boss,The Donald,http://www.reuters.com/article/us-baseball-steinbrenner-idUKTRE66C2ZF20100713,splitter-trump-steinbrenner.jpg,george-quiz.jpg,New York Daily News File Photo,
,,"""Having people scream nasty things at you is a part of [life]. I've had my share of it. ƒ They can say what they want.""",The Boss,The Boss,The Donald,http://www.esquire.com/sports/interviews/a2068/esq0102-jan-steinbrenner-rev/,splitter-trump-steinbrenner.jpg,george-quiz.jpg,New York Daily News File Photo,
,,"""I'm owned by the people. I'm no angel, but I'm gonna do right by them!""",The Donald,The Boss,The Donald,http://www.rollingstone.com/politics/news/trump-seriously-20150909 ,splitter-trump-steinbrenner.jpg,donald-trump-news-conference.jpg,James Keivom/New York Daily News,
,,"""My dad never let me have an allowance.""",The Boss,The Boss,The Donald,http://www.esquire.com/sports/interviews/a2068/esq0102-jan-steinbrenner-rev/,splitter-trump-steinbrenner.jpg,george-quiz.jpg,New York Daily News File Photo,
,,"""I think apologizing's a great thing, but you have to be wrong.""",The Donald,The Boss,The Donald,http://deadline.com/2015/09/donald-trump-jimmy-fallon-tonight-show-apologizing-great-thing-1201522042/,splitter-trump-steinbrenner.jpg,donald-trump-news-conference.jpg,James Keivom/New York Daily News,
